,structure,bandgap,A_r_atom,B_r_atom,X_r_atom,A_r_ion,B_r_ion,X_r_ion,A_ie,B_ie,X_ie,A_ea,B_ea,X_ea,A_x,B_x,X_x,A_N,B_N,X_N,A_M,B_M,X_M,HOMO,LUMO,gap_AO,bond_mean,bond_var,bond_cv,delta_X_bx_bond_mean,delta_X_bx_bond_var,ratio_X_bx_bond_mean,ratio_X_bx_bond_var,delta_ea_bx_bond_mean,delta_ea_bx_bond_var,ratio_ea_bx_bond_mean,ratio_ea_bx_bond_var,delta_X_bx_bond_cv,ratio_X_bx_bond_cv,delta_ea_bx_bond_cv,ratio_ea_bx_bond_cv,(B_x - X_x),(B_x / X_x),(B_x - X_x)/(B_r_ion + X_r_ion),(B_x / X_x)/(B_r_ion + X_r_ion),(B_x/B_r_ion),(X_x/X_r_ion),(B_x/B_r_ion)+(X_x/X_r_ion),(B_x/B_r_ion)-(X_x/X_r_ion),(B_x/B_r_ion)*(X_x/X_r_ion),(B_x/B_r_ion)/(X_x/X_r_ion),(B_ea - X_ea),(B_ea / X_ea),(B_ea - X_ea)/(B_r_ion + X_r_ion),(B_ea / X_ea)/(B_r_ion + X_r_ion),(B_ea/B_r_ion),(X_ea/X_r_ion),(B_ea/B_r_ion)+(X_ea/X_r_ion),(B_ea/B_r_ion)-(X_ea/X_r_ion),(B_ea/B_r_ion)*(X_ea/X_r_ion),(B_ea/B_r_ion)/(X_ea/X_r_ion),(B_r_ion + X_r_ion),(B_r_ion / X_r_ion),(A_r_ion + X_r_ion)/(1.414*(B_r_ion + X_r_ion)),log(bond_var),log(bond_cv),log(delta_X_bx_bond_var),log(delta_ea_bx_bond_var),log(ratio_X_bx_bond_var),log(ratio_ea_bx_bond_var),log(delta_X_bx_bond_cv),log(ratio_X_bx_bond_cv),log(delta_ea_bx_bond_cv),log(ratio_ea_bx_bond_cv)
130,Rb_Sr_Cl_Br_I_POSCAR,3.8261,2.35,2,1.183333333,1.66,1.32,0.978611111,4.1771281,5.69486745,11.74423433,0.48591621,0.052066,3.345121987,0.82,0.95,2.926666667,37,38,35,85.4678,87.62,80.75382333,-0.267904,-0.131793,0.136111,3.035585313,0.034992416,0.011527403,0.657757341,0.011456949,0.107408255,0.00000125,1.093473442,0.019814395,0.005149124,1.22E-09,0.0174182,0.0000117,0.0181206,0.000000237,-1.976666667,0.324601367,-0.859939577,0.141216305,0.71969697,2.990632984,3.710329954,-2.270936014,2.152349496,0.240650382,-3.293055987,0.015564754,-1.432628587,0.006771373,0.039443939,3.418234219,3.457678159,-3.37879028,0.134828623,0.011539273,2.298611111,1.348850412,0.811821363,-3.352623927,-4.463028209,-4.469158834,-3.921346585,-13.59236701,-20.52441498,-4.050239642,-11.35592172,-4.010705866,-15.2552057
131,Cs_Mg_Br_Br_F_POSCAR,4.0686,2.6,1.5,0.933333333,1.81,0.86,0.823333333,3.893905727,7.646236,13.68348,0.47163025,-0.42,3.376122141,0.79,1.31,3.3,55,12,26.33333333,132.9054519,24.305,59.6021344,-0.295334,-0.175427,0.119907,2.410339303,0.042993317,0.017837039,0.850584396,0.0842847,0.167212397,0.0000689,1.588119896,0.02349966,0.051998682,0.00002,0.099090344,0.000412319,0.014797157,0.000385189,-1.99,0.396969697,-1.182178218,0.235823582,1.523255814,4.008097168,5.531352982,-2.484841354,6.105357313,0.380044632,-3.796122141,-0.124403082,-2.255122064,-0.073902821,-0.488372093,4.100553209,3.612181116,-4.588925302,-2.002595753,-0.119099075,1.683333333,1.044534413,1.106334113,-3.146710594,-4.026478141,-2.473554925,-3.750769326,-9.58285438,-10.81977828,-2.311723279,-7.793713236,-4.213320211,-7.861776435
132,K_Ba_F_F_Cl_POSCAR,3.8716,2.2,2.15,0.666666667,1.52,1.49,0.73,4.34066373,5.2116646,15.93775767,0.50145913,0.144626,3.471701643,0.82,0.89,3.706666667,19,56,11.66666667,39.0983,137.327,24.4832688,-0.32038,-0.118967,0.201413,2.440514428,0.019136045,0.007840988,1.166363047,0.046591161,0.099248768,0.0000288,1.365258742,0.001233291,0.01716261,0.00000195,0.039945676,0.000290304,0.000903338,0.000113829,-2.816666667,0.240107914,-1.268768769,0.108156718,0.597315436,5.077625571,5.674941007,-4.480310135,3.032944133,0.117636763,-3.327075643,0.041658534,-1.498682722,0.018765105,0.09706443,4.755755675,4.852820105,-4.658691246,0.461614712,0.020409886,2.22,2.04109589,0.716770519,-3.95618155,-4.848390432,-3.066344434,-6.698069073,-10.45513517,-13.14768119,-3.220234848,-8.144581908,-7.009413767,-9.080813236
133,K_Cd_Br_Br_Br_POSCAR,0.8749,2.2,1.55,1.15,1.52,1.09,0.8825,4.34066373,8.99382,11.81381,0.50145913,-0.72,3.3635883,0.82,1.69,2.96,19,48,35,39.0983,112.411,79.904,-0.295334,-0.204228,0.091106,2.736126669,8.97E-18,3.28E-18,0.464159797,2.58E-19,0.208669413,5.22E-20,1.492470486,2.67E-18,0.078233627,7.33E-21,5.56E-19,2.5E-19,1.79E-18,9.37E-20,-1.27,0.570945946,-0.643852978,0.289452951,1.550458716,3.354107649,4.904566364,-1.803648933,5.200405437,0.462256695,-4.0835883,-0.214057113,-2.070260228,-0.108520716,-0.660550459,3.811431501,3.150881043,-4.47198196,-2.517642827,-0.173307708,1.9725,1.235127479,0.861384346,-39.252646,-40.25868825,-42.80132737,-40.4644532,-44.39920446,-46.36231144,-42.03351866,-42.83282604,-40.86431605,-43.81418876
134,K_Pb_F_Cl_Br_POSCAR,0.6219,2.2,1.8,0.883333333,1.52,1.1225,0.789166667,4.34066373,7.4166799,14.06808767,0.50145913,0.3567212,3.459167801,0.82,2.33,3.366666667,19,82,20.33333333,39.0983,207.2,44.7851344,-0.295334,-0.141831,0.153503,2.532241032,0.031055877,0.012264187,0.424192192,0.045301362,0.276685342,0.000231909,1.230724508,0.00785541,0.040990431,0.0000122,0.106794426,0.000838169,0.006382753,0.000297528,-1.036666667,0.692079208,-0.54228422,0.362029228,2.075723831,4.266103483,6.341827314,-2.190379653,8.855252665,0.486561997,-3.102446601,0.103123416,-1.622901447,0.053944245,0.317791715,4.383317169,4.701108884,-4.065525455,1.39298188,0.072500278,1.911666667,1.422386483,0.854267143,-3.471967213,-4.40107189,-3.094418181,-4.846552813,-8.369165505,-11.31407461,-2.236849545,-7.084290807,-5.05415577,-8.12000222
135,Cs_Zn_F_F_Br_POSCAR,2.0476,2.6,1.35,0.716666667,1.81,0.88,0.764166667,3.893905727,9.394197,15.55315,0.47163025,-0.62,3.388655983,0.79,1.65,3.64,55,30,17.66666667,132.9054519,65.409,39.3002688,-0.295334,-0.222725,0.072609,2.270992384,0.002267283,0.000998367,0.88102501,0.051455199,0.202995412,0.000626352,1.766082384,0.001951847,0.080593779,0.00000156,0.058403789,0.003085546,0.001105184,0.0000193,-1.99,0.453296703,-1.210339584,0.275699972,1.875,4.763358777,6.638358777,-2.888358777,8.931297706,0.393629808,-4.008655983,-0.182963394,-2.438108048,-0.111280321,-0.704545455,4.434446214,3.729900759,-5.138991668,-3.124268923,-0.158880144,1.644166667,1.151581243,1.1072391,-6.089173081,-6.909389614,-2.967043772,-6.238979175,-7.375598045,-13.37082474,-2.840374511,-5.781026652,-6.807743442,-10.85540546
136,Cs_Ba_Cl_Cl_Cl_POSCAR,4.8618,2.6,2.15,1,1.81,1.49,0.78,3.893905727,5.2116646,12.967633,0.47163025,0.144626,3.61272528,0.79,0.89,3.16,55,56,17,132.9054519,137.327,35.453,-0.32038,-0.118967,0.201413,2.908141452,7.26E-14,2.5E-14,0.780567258,5.23E-15,0.096847273,8.05E-17,1.192548347,1.22E-14,0.013765624,1.63E-18,6.7E-15,8.31E-16,1.02E-14,1.18E-16,-2.27,0.28164557,-1,0.124072938,0.597315436,4.051282051,4.648597488,-3.453966615,2.419893306,0.14743862,-3.46809928,0.040032382,-1.52779704,0.017635411,0.09706443,4.631699077,4.728763506,-4.534634647,0.449573229,0.020956549,2.27,1.91025641,0.806908885,-30.25381147,-31.31990057,-32.88436512,-32.03734044,-37.05827449,-40.95795166,-32.63666887,-34.72390188,-32.21638867,-36.67584705
137,Rb_Ba_Cl_Cl_F_POSCAR,4.3179,2.35,2.15,0.833333333,1.66,1.49,0.755,4.1771281,5.2116646,14.45269533,0.48591621,0.144626,3.542213461,0.82,0.89,3.433333333,37,56,14.33333333,85.4678,137.327,29.9681344,-0.32038,-0.118967,0.201413,2.589899032,0.025061633,0.009676683,0.995442899,0.048220506,0.100998909,0.000021,1.314534538,0.001913101,0.015868491,0.00000221,0.048441258,0.000208289,0.001455345,0.000139426,-2.543333333,0.259223301,-1.132887899,0.115466949,0.597315436,4.547461368,5.144776804,-3.950145932,2.716268871,0.131351404,-3.397587461,0.040829273,-1.513401987,0.018186759,0.09706443,4.691673458,4.788737888,-4.594609029,0.455394608,0.020688658,2.245,1.973509934,0.7607665,-3.686417168,-4.638036102,-3.031970913,-6.259029793,-10.77098812,-13.02251804,-3.02740339,-8.47658402,-6.532512293,-8.877976563
138,Cs_Cd_F_F_Br_POSCAR,2.3356,2.6,1.55,0.716666667,1.81,1.09,0.764166667,3.893905727,8.99382,15.55315,0.47163025,-0.72,3.388655983,0.79,1.69,3.64,55,48,17.66666667,132.9054519,112.411,39.3002688,-0.295334,-0.204228,0.091106,2.338617623,0.007028612,0.003005456,0.842069854,0.052883168,0.201647684,0.000471566,1.759343888,0.004747673,0.090954181,0.00000737,0.062801402,0.002338563,0.002698548,0.000081,-1.95,0.464285714,-1.051685393,0.250401284,1.550458716,4.763358777,6.313817492,-3.212900061,7.385391131,0.325496942,-4.108655983,-0.212473619,-2.21590435,-0.114592514,-0.660550459,4.434446214,3.773895755,-5.094996672,-2.929175481,-0.148958952,1.854166667,1.426390403,0.981834941,-4.957766032,-5.807325975,-2.939670176,-5.350100676,-7.659451487,-11.81809285,-2.767777881,-6.058218641,-5.915041428,-9.421061403
139,Cs_Sn_I_I_Cl_POSCAR,0,2.6,1.45,1.266666667,1.81,0.83,1.108888889,3.893905727,7.343918,11.290051,0.47163025,1.1120702,3.243610013,0.79,1.96,2.826666667,55,50,41,132.9054519,118.71,96.42064667,-0.267904,-0.14445,0.123454,2.905321583,0.015133831,0.005209004,0.302403308,0.009376363,0.239859196,0.0000816,0.738954549,0.015591145,0.118559385,0.0000172,0.031006151,0.00034005,0.021098923,0.000144832,-0.866666667,0.693396226,-0.446991404,0.357625561,2.361445783,2.549098196,4.91054398,-0.187652413,6.019557187,0.926384784,-2.131539813,0.34284954,-1.099361508,0.176827843,1.339843614,2.92509921,4.264942824,-1.585255595,3.919175498,0.458050657,1.938888889,0.748496994,1.064670528,-4.190822578,-5.257366612,-4.669563331,-4.161052154,-9.413681296,-10.97060117,-3.473569675,-7.986417892,-3.858533282,-8.839936108
140,Rb_Zn_F_Cl_Br_POSCAR,1.7274,2.35,1.35,0.883333333,1.66,0.88,0.789166667,4.1771281,9.394197,14.06808767,0.48591621,-0.62,3.459167801,0.82,1.65,3.366666667,37,30,20.33333333,85.4678,65.409,44.7851344,-0.295334,-0.222725,0.072609,2.344413724,0.023072328,0.009841406,0.748206849,0.061005285,0.211638933,0.00016759,1.746655742,0.01244108,0.076912624,0.0000405,0.08153532,0.000791867,0.0071228,0.000526536,-1.716666667,0.49009901,-1.028457314,0.293618977,1.875,4.266103483,6.141103483,-2.391103483,7.998944031,0.439511139,-4.079167801,-0.179233861,-2.443834928,-0.107379248,-0.704545455,4.383317169,3.678771715,-5.087862624,-3.088246188,-0.160733396,1.669166667,1.115100316,1.037693813,-3.769121302,-4.621156692,-2.796794779,-4.386751379,-8.693990038,-10.11420858,-2.506718978,-7.14111711,-4.944454372,-7.549190853
141,K_Cd_I_I_Cl_POSCAR,0.1884,2.2,1.55,1.266666667,1.52,1.09,1.108888889,4.34066373,8.99382,11.290051,0.50145913,-0.72,3.243610013,0.82,1.69,2.826666667,19,48,41,39.0983,112.411,96.42064667,-0.267904,-0.204228,0.063676,2.783541475,0.013085226,0.004700927,0.41265444,0.010957294,0.215864684,0.0000705,1.43040173,0.024685225,0.080117854,0.00000841,0.026553196,0.000326706,0.017257547,0.000105019,-1.136666667,0.597877358,-0.516927741,0.271899759,1.550458716,2.549098196,4.099556912,-0.998639481,3.952271516,0.608238128,-3.963610013,-0.221974897,-1.802551294,-0.100948665,-0.660550459,2.92509921,2.264548751,-3.585649669,-1.932175625,-0.225821557,2.198888889,0.982965932,0.845511534,-4.336271471,-5.359995556,-4.513749926,-3.701550392,-9.559897848,-11.68608908,-3.628605162,-8.026449874,-4.059505724,-9.161369272
142,Rb_Cd_F_F_F_POSCAR,3.2755,2.35,1.55,0.5,1.66,1.09,0.705,4.1771281,8.99382,17.42282,0.48591621,-0.72,3.401189824,0.82,1.69,3.98,37,48,9,85.4678,112.411,18.9984032,-0.415606,-0.204228,0.211378,2.179956418,4.01E-17,1.84E-17,1.050479717,9.32E-18,0.19478514,3.2E-19,1.890491842,3.02E-17,0.097107733,7.96E-20,8.87E-18,1.65E-18,1.6E-17,8.2E-19,-2.29,0.424623116,-1.275766017,0.236558839,1.550458716,5.645390071,7.195848787,-4.094931355,8.752944238,0.274641556,-4.121189824,-0.211690625,-2.295927479,-0.117933496,-0.660550459,4.824382729,4.16383227,-5.484933188,-3.186748225,-0.136919166,1.795,1.546099291,0.931788364,-37.75515534,-38.53418101,-39.21436905,-38.03868975,-42.58596596,-43.97727286,-39.26385688,-40.94575639,-38.67394295,-41.64498261
143,Rb_Zn_F_Br_I_POSCAR,0.6068,2.35,1.35,1.016666667,1.66,0.88,0.953611111,4.1771281,9.394197,13.22929667,0.48591621,-0.62,3.274610168,0.82,1.65,3.2,37,30,32.33333333,85.4678,65.409,75.26895773,-0.267904,-0.222725,0.045179,2.430349276,0.037163844,0.015291565,0.661415252,0.089914783,0.216957903,0.000389964,1.616557233,0.033449546,0.078408185,0.000025,0.135943014,0.001797418,0.020691841,0.000319229,-1.55,0.515625,-0.845326466,0.281207393,1.875,3.355665599,5.230665599,-1.480665599,6.291872998,0.55875651,-3.894610168,-0.189335514,-2.124010999,-0.103258272,-0.704545455,3.433905216,2.729359761,-4.13845067,-2.419342311,-0.205173239,1.833611111,0.92280804,1.008055228,-3.292418926,-4.18045391,-2.408892913,-3.397717065,-7.849456131,-10.59663473,-1.995519496,-6.321404088,-3.878015811,-8.049601844
144,Cs_Ca_Br_Br_Br_POSCAR,4.4269,2.6,1.8,1.15,1.81,1.14,0.8825,3.893905727,6.11315547,11.81381,0.47163025,0.024551,3.3635883,0.79,1,2.96,55,20,35,132.9054519,40.078,79.904,-0.295334,-0.141411,0.153923,2.875621339,7.37E-12,2.56E-12,0.681591826,4.14E-13,0.117483423,1.23E-14,1.161153332,1.2E-12,0.002538252,5.74E-18,6.07E-13,1.05E-13,1.03E-12,2.26E-15,-1.96,0.337837838,-0.969097651,0.167039722,0.877192982,3.354107649,4.231300631,-2.476914666,2.942199692,0.261527975,-3.3390373,0.00729905,-1.650945513,0.003608925,0.021535965,3.811431501,3.832967466,-3.789895537,0.082082855,0.005650361,2.0225,1.291784703,0.941494467,-25.63360341,-26.69101386,-28.51291042,-27.44869956,-32.02917713,-39.69907246,-28.1302476,-29.88481604,-27.60146231,-33.72341158
145,K_Ca_Br_Br_Cl_POSCAR,4.2093,2.2,1.8,1.1,1.52,1.14,0.848333333,4.34066373,6.11315547,12.19841767,0.50145913,0.024551,3.44663396,0.82,1,3.026666667,19,20,29,39.0983,40.078,65.087,-0.295334,-0.141411,0.153923,2.724096129,0.004142115,0.001520546,0.74523229,0.002820027,0.121381903,0.000000717,1.257976951,0.005486575,0.00261724,6.6E-10,0.003784091,0.0000059,0.004361428,0.000000252,-2.026666667,0.330396476,-1.019279129,0.166167549,0.877192982,3.567779963,4.444972945,-2.69058698,3.129631546,0.245865214,-3.42208296,0.007123182,-1.72108112,0.003582489,0.021535965,4.062829817,4.084365782,-4.041293852,0.08749696,0.00530073,1.988333333,1.343811395,0.842372586,-5.486548752,-6.488685798,-5.87100882,-5.20545108,-14.14819,-21.13878128,-5.576949579,-12.04055821,-5.434955752,-15.19383675
146,K_Ca_I_I_F_POSCAR,3.4557,2.2,1.8,1.1,1.52,1.14,1.083888889,4.34066373,6.11315547,12.77511333,0.50145913,0.024551,3.173098195,0.82,1,3.1,19,20,38.33333333,39.0983,40.078,90.93578107,-0.267904,-0.141411,0.126493,2.555023655,0.083884788,0.032831316,0.86399237,0.137817036,0.129850079,0.0000811,1.257644411,0.05000166,0.003060207,4.63E-08,0.159511867,0.000624744,0.039758186,0.0000151,-2.1,0.322580645,-0.944291781,0.145052501,0.877192982,2.860071758,3.73726474,-1.982878775,2.508834875,0.306703138,-3.148547195,0.007737233,-1.415784399,0.003479145,0.021535965,2.92751243,2.949048395,-2.905976465,0.063046805,0.007356404,2.223888889,1.051768324,0.828056468,-2.478310993,-3.416372463,-1.9818283,-2.995699074,-9.419827597,-16.88812388,-1.835636958,-7.378168592,-3.224939522,-11.10081581
147,K_Mg_Br_Br_F_POSCAR,4.546,2.2,1.5,0.933333333,1.52,0.86,0.823333333,4.34066373,7.646236,13.68348,0.50145913,-0.42,3.376122141,0.82,1.31,3.3,19,12,26.33333333,39.0983,24.305,59.6021344,-0.295334,-0.175427,0.119907,2.353046274,0.064350508,0.027347744,0.880639512,0.104963587,0.171521606,0.000021,1.634726052,0.039573978,0.053511371,0.0000353,0.119190185,0.000122335,0.024208324,0.000660601,-1.99,0.396969697,-1.182178218,0.235823582,1.523255814,4.008097168,5.531352982,-2.484841354,6.105357313,0.380044632,-3.796122141,-0.124403082,-2.255122064,-0.073902821,-0.488372093,4.100553209,3.612181116,-4.588925302,-2.002595753,-0.119099075,1.683333333,1.044534413,0.984497318,-2.743410451,-3.59912124,-2.254141779,-3.229583498,-10.77098812,-10.25162759,-2.127034868,-9.008747375,-3.721058738,-7.322360531
148,K_Ba_Br_Br_Cl_POSCAR,3.7945,2.2,2.15,1.1,1.52,1.49,0.848333333,4.34066373,5.2116646,12.19841767,0.50145913,0.144626,3.44663396,0.82,0.89,3.026666667,19,56,29,39.0983,137.327,65.087,-0.295334,-0.118967,0.176367,3.017694776,0.00428424,0.001419706,0.709072983,0.002241904,0.097516588,0.000000759,1.095596114,0.004052402,0.013917387,2.68E-08,0.00316174,0.00000778,0.003698811,0.00000193,-2.136666667,0.294052863,-0.913756237,0.125753185,0.597315436,3.567779963,4.165095399,-2.970464526,2.131090045,0.16741936,-3.30200796,0.04196152,-1.412120297,0.017945055,0.09706443,4.062829817,4.159894246,-3.965765387,0.394356258,0.023890843,2.338333333,1.756385069,0.716286882,-5.452812106,-6.557305471,-6.100429774,-5.508445487,-14.09126406,-17.43486395,-5.75663277,-11.76395422,-5.599743862,-13.15799056
149,Rb_Ba_Cl_Cl_Cl_POSCAR,4.4637,2.35,2.15,1,1.66,1.49,0.78,4.1771281,5.2116646,12.967633,0.48591621,0.144626,3.61272528,0.82,0.89,3.16,37,56,17,85.4678,137.327,35.453,-0.32038,-0.118967,0.201413,2.900593327,6.99E-16,2.41E-16,0.782598505,5.09E-17,0.097099296,7.83E-19,1.195651679,1.19E-16,0.013801446,1.58E-20,6.5E-17,8.07E-18,9.94E-17,1.15E-18,-2.27,0.28164557,-1,0.124072938,0.597315436,4.051282051,4.648597488,-3.453966615,2.419893306,0.14743862,-3.46809928,0.040032382,-1.52779704,0.017635411,0.09706443,4.631699077,4.728763506,-4.534634647,0.449573229,0.020956549,2.27,1.91025641,0.76017671,-34.89688093,-35.96173474,-37.51666875,-36.66740818,-41.69115426,-45.59427701,-37.2721444,-39.35837819,-36.84737956,-41.30676973
150,K_Ge_F_Cl_I_POSCAR,0.0168,2.2,1.25,0.966666667,1.52,0.77,0.919444444,4.34066373,7.899435,13.61390433,0.50145913,1.232676413,3.357655828,0.82,2.01,3.266666667,19,32,26.33333333,39.0983,72.64,60.45195773,-0.267904,-0.149882,0.118022,2.449961318,0.044466585,0.018149913,0.536819836,0.077018468,0.256392606,0.000415696,0.877400143,0.019285789,0.151316401,0.000163986,0.143471725,0.001621324,0.021980609,0.001083731,-1.256666667,0.615306122,-0.743834265,0.364206189,2.61038961,3.552870093,6.163259703,-0.942480482,9.274375177,0.734727007,-2.124979415,0.367124112,-1.257797747,0.217304637,1.600878458,3.651831114,5.252709572,-2.050952655,5.846137764,0.438376915,1.689444444,0.837462236,1.021168965,-3.113017271,-4.009089512,-2.563710042,-3.948386776,-7.785556334,-8.7157295,-1.941617302,-6.42451218,-3.817594623,-6.827345562
151,Cs_Zn_I_I_Br_POSCAR,0,2.6,1.35,1.316666667,1.81,0.88,1.143055556,3.893905727,9.394197,10.90544333,0.47163025,-0.62,3.160564353,0.79,1.65,2.76,55,30,47,132.9054519,65.409,111.2376467,-0.267904,-0.222725,0.045179,2.68171058,0.001824383,0.000680306,0.414870866,0.003602316,0.223372699,0.0000574,1.410982899,0.005909299,0.07326349,0.00000434,0.008682982,0.000257148,0.004188073,0.0000592,-1.11,0.597826087,-0.548674996,0.29550651,1.875,2.414580801,4.289580801,-0.539580801,4.527339002,0.776532307,-3.780564353,-0.196167498,-1.868739759,-0.096965947,-0.704545455,2.765013771,2.060468316,-3.469559225,-1.948077884,-0.254807214,2.023055556,0.769866342,1.032320136,-6.306513431,-7.292967861,-5.626178307,-5.131228067,-9.765466255,-12.34763621,-4.746390261,-8.265858763,-5.475514555,-9.734589016
152,K_Mg_F_F_I_POSCAR,4.7969,2.2,1.5,0.8,1.52,0.86,0.894444444,4.34066373,7.646236,15.09896667,0.50145913,-0.42,3.287144009,0.82,1.31,3.54,19,12,23.66666667,39.0983,24.305,54.96709213,-0.267904,-0.175427,0.092477,2.273293337,0.031203806,0.013726256,1.006880471,0.111309977,0.167200136,0.000391668,1.645380491,0.035512466,0.056457724,0.00000208,0.110549345,0.00234251,0.021583133,0.0000369,-2.23,0.370056497,-1.271057632,0.210925173,1.523255814,3.957763977,5.481019791,-2.434508163,6.028686988,0.384877881,-3.707144009,-0.12777049,-2.113001652,-0.072826752,-0.488372093,3.675067838,3.186695745,-4.163439931,-1.794800572,-0.132887912,1.754444444,0.961490684,0.973258459,-3.467215204,-4.288444784,-2.195436384,-3.337871489,-7.845096016,-13.08314266,-2.202293297,-6.056532275,-3.835843149,-10.20729901
153,K_Sn_F_F_Cl_POSCAR,0.3016,2.2,1.45,0.666666667,1.52,0.83,0.73,4.34066373,7.343918,15.93775767,0.50145913,1.1120702,3.471701643,0.82,1.96,3.706666667,19,50,11.66666667,39.0983,118.71,24.4832688,-0.32038,-0.14445,0.17593,2.367216739,0.034871662,0.014731081,0.75450482,0.044538464,0.225456293,0.0000527,0.999539666,0.001209941,0.136515834,0.00019075,0.059030058,0.000233651,0.001210498,0.00139727,-1.746666667,0.528776978,-1.11965812,0.338959602,2.361445783,5.077625571,7.439071354,-2.716179788,11.99053749,0.465068909,-2.359631443,0.320324243,-1.512584258,0.205336053,1.339843614,4.755755675,6.09559929,-3.415912061,6.371968874,0.281730961,1.56,1.136986301,1.020019584,-3.356080757,-4.217795664,-3.111402104,-6.717183681,-9.850895102,-8.564546888,-2.829708507,-8.361682009,-6.716723434,-6.573234946
154,K_Ba_Cl_Cl_Br_POSCAR,3.9581,2.2,2.15,1.05,1.52,1.49,0.814166667,4.34066373,5.2116646,12.58302533,0.50145913,0.144626,3.52967962,0.82,0.89,3.093333333,19,56,23,39.0983,137.327,50.27,-0.295334,-0.118967,0.176367,2.953278885,0.003830987,0.001297198,0.747046054,0.002198292,0.097494448,0.00000096,1.147519768,0.003954557,0.013886142,3.23E-08,0.002942645,0.00000985,0.003446178,0.00000232,-2.203333333,0.287715517,-0.956238698,0.124867494,0.597315436,3.799385873,4.396701309,-3.202070437,2.26943183,0.15721368,-3.38505362,0.040974257,-1.469101028,0.017782679,0.09706443,4.335328088,4.432392518,-4.238263659,0.420806148,0.022389177,2.304166667,1.830092118,0.716421423,-5.564632807,-6.647548725,-6.120074584,-5.532886694,-13.85633255,-17.24819861,-5.828446442,-11.5280391,-5.670489488,-12.97394337
155,Rb_Sr_I_I_Br_POSCAR,3.4375,2.35,2,1.316666667,1.66,1.32,1.143055556,4.1771281,5.69486745,10.90544333,0.48591621,0.052066,3.160564353,0.82,0.95,2.76,37,38,47,85.4678,87.62,111.2376467,-0.267904,-0.131793,0.136111,3.157952083,0.016244858,0.005144112,0.575982591,0.004903901,0.109231142,0.00000105,0.987885075,0.007715456,0.005226213,3.87E-10,0.008513975,0.0000096,0.007810074,0.000000074,-1.81,0.344202899,-0.734859592,0.139746299,0.71969697,2.414580801,3.134277771,-1.694883831,1.737766486,0.298062906,-3.108498353,0.01647364,-1.26204963,0.006688294,0.039443939,2.765013771,2.80445771,-2.725569831,0.109063036,0.014265368,2.463055556,1.154799514,0.804837287,-4.119978851,-5.269902519,-5.317724268,-4.864529689,-13.76672039,-21.67259642,-4.766046348,-11.55374746,-4.85234084,-16.41920074
156,K_Sr_Cl_Br_I_POSCAR,3.6761,2.2,2,1.183333333,1.52,1.32,0.978611111,4.34066373,5.69486745,11.74423433,0.50145913,0.052066,3.345121987,0.82,0.95,2.926666667,19,38,35,39.0983,87.62,80.75382333,-0.267904,-0.131793,0.136111,3.027279133,0.037057234,0.012241102,0.659843103,0.01176746,0.10771371,0.000000801,1.096866608,0.020467276,0.005163814,6.59E-10,0.017833724,0.00000744,0.018659768,0.000000128,-1.976666667,0.324601367,-0.859939577,0.141216305,0.71969697,2.990632984,3.710329954,-2.270936014,2.152349496,0.240650382,-3.293055987,0.015564754,-1.432628587,0.006771373,0.039443939,3.418234219,3.457678159,-3.37879028,0.134828623,0.011539273,2.298611111,1.348850412,0.76874757,-3.295291697,-4.402955973,-4.442417184,-3.888927961,-14.03740489,-21.14029758,-4.026664007,-11.80863971,-3.981385517,-15.87123557
157,Rb_Ge_Br_Br_F_POSCAR,0,2.35,1.25,0.933333333,1.66,0.77,0.823333333,4.1771281,7.899435,13.68348,0.48591621,1.232676413,3.376122141,0.82,2.01,3.3,37,32,26.33333333,85.4678,72.64,59.6021344,-0.295334,-0.149882,0.145452,2.448937776,0.036030692,0.014712784,0.546332657,0.063771567,0.252455008,0.000217251,0.881451513,0.006390544,0.149985077,0.000131661,0.116726624,0.000860554,0.007250023,0.000877826,-1.29,0.609090909,-0.809623431,0.382274629,2.61038961,4.008097168,6.618486778,-1.397707557,10.4626952,0.651279024,-2.143445728,0.36511606,-1.345258825,0.229152339,1.600878458,4.100553209,5.701431668,-2.499674751,6.564487301,0.390405484,1.593333333,0.935222672,1.102247105,-3.323384148,-4.219038503,-2.752447846,-5.052935881,-8.434457191,-8.935280121,-2.147920625,-7.05793419,-4.926750638,-7.038062162
158,K_Sn_F_F_Br_POSCAR,0,2.2,1.45,0.716666667,1.52,0.83,0.764166667,4.34066373,7.343918,15.55315,0.50145913,1.1120702,3.388655983,0.82,1.96,3.64,19,50,17.66666667,39.0983,118.71,39.3002688,-0.295334,-0.14445,0.150884,2.251524705,0.019719153,0.008758133,0.761755809,0.062520648,0.242629165,0.000381663,1.015383862,0.004650357,0.146259714,0.0000641,0.082074395,0.001573031,0.0045799,0.000437992,-1.68,0.538461538,-1.053842133,0.337769914,2.361445783,4.763358777,7.12480456,-2.401912993,11.2484135,0.49575224,-2.276585783,0.328174417,-1.428072629,0.20585954,1.339843614,4.434446214,5.774289828,-3.094602599,5.941464443,0.302144518,1.594166667,1.08615049,1.013315431,-3.926164882,-4.737772525,-2.772258409,-5.370811288,-7.870972538,-9.655066194,-2.500129187,-6.454750948,-5.386078115,-7.733309913
